MINISTERE,DESC_MINISTERE,SECTION,DESC_SECTION,MNT_ALLOUE1617,MNT_AUTORISE1,MNT_AUTORISE2,MNT_AUTORISE3,MNT_AUTORISE4,MNT_AUTORISE5,MNT_AUTORISE6,MNT_AUTORISE7,MNT_AUTORISE8,MNT_AUTORISE9,MNT_AUTORISE10,MNT_AUTORISE11,MNT_AUTORISE12
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112215,DIRECTION GENERALE DES IMPOTS," 1,342,898,440.21 "," 148,711,678.26 "," 44,897,805.73 "," 150,734,536.04 "," 53,047,939.09 "," 95,606,839.00 "," 68,257,722.07 "," 51,647,490.99 "," 83,773,050.18 "," 55,520,378.43 "," 128,618,300.13 "," 118,121,663.94 "," 303,416,953.94 "
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112216,ADMINISTRATION GENERALE DES DOUANES," 1,867,816,937.29 "," 128,370,614.37 "," 124,524,036.74 "," 164,197,424.86 "," 130,995,574.70 "," 106,240,540.01 "," 92,681,886.64 "," 130,651,127.29 "," 126,527,045.05 "," 309,825,887.22 "," 193,571,787.30 "," 128,819,446.72 "," 220,428,163.80 "
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112225,INSPECTION GENERALE DES FINANCES," 94,541,001.87 "," 8,447,506.22 "," 5,240,791.18 "," 11,411,401.99 "," 6,993,574.61 "," 5,019,467.44 "," 5,551,616.70 "," 8,537,098.48 "," 6,897,207.62 "," 8,240,637.25 "," 11,388,066.88 "," 9,373,192.26 "," 7,387,925.15 "
1112 Total,,,," 4,800,428,492.45 "," 406,588,239.95 ",," 515,620,420.96 "," 293,331,456.87 "," 312,118,359.15 "," 291,360,769.56 "," 286,777,624.66 "," 325,100,567.80 "," 492,547,351.63 "," 455,701,950.48 "," 403,213,872.75 "," 668,821,604.93 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113111,BUREAU DU MINISTRE," 150,397,053.77 "," 12,902,200.00 "," 8,302,320.00 "," 12,315,191.65 "," 8,160,689.59 "," 9,280,081.00 "," 19,721,593.20 "," 4,251,035.94 "," 10,964,256.00 "," 12,708,296.41 "," 10,181,145.64 "," 19,223,127.03 "," 22,365,867.00 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113112,DIRECTION GENERALE DES SERVICES INTERNES," 826,461,342.07 "," 36,916,997.30 "," 61,713,295.24 "," 107,864,743.60 "," 68,754,639.80 "," 30,431,393.35 "," 112,402,799.96 "," 49,037,758.69 "," 65,885,822.72 "," 77,322,005.18 "," 54,812,148.09 "," 73,859,555.88 "," 87,286,685.68 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113113,ORGANISME DE DEV. DE LA VALLE DE L'ARTIBONITE," 106,592,408.00 "," 6,173,974.13 "," 7,357,755.63 "," 12,806,597.69 "," 7,160,268.20 "," 4,938,861.49 "," 15,774,368.99 "," 11,322,444.79 "," 9,607,191.91 "," 7,552,722.94 "," 7,125,008.05 "," 7,382,359.48 "," 9,390,812.49 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113114,INSTITUT NATIONAL DE REFORME AGRAIRE," 69,776,822.87 "," 3,445,110.00 "," 5,123,880.00 "," 8,206,465.58 "," 5,969,227.86 "," 2,713,962.51 "," 9,103,091.67 "," 3,798,349.45 "," 8,163,601.09 "," 7,184,868.12 "," 4,992,934.21 "," 6,244,819.42 "," 4,776,816.25 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113116,ORGANISME DE DEVELOPPEMENT DU NORD," 9,662,129.99 "," 160,000.00 "," 160,000.00 "," 586,221.45 "," 1,083,057.10 ", -   ," 6,030,200.00 "," 84,400.00 "," 84,400.00 "," 84,400.00 "," 84,400.00 "," 1,220,656.00 "," 84,400.00 "
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL",1113117,INSTITUT NATIONAL DU CAFE D'HAITI," 16,799,788.01 "," 732,131.32 "," 2,828,602.28 "," 1,718,759.98 ", -   ," 3,566,550.00 "," 911,959.58 "," 1,644,917.00 "," 1,100,308.10 "," 767,850.00 "," 756,060.00 "," 1,983,709.25 "," 788,935.00 "
1113 Total,,,," 1,179,689,544.71 "," 60,330,412.75 ",," 143,497,979.95 "," 91,127,882.55 "," 50,930,848.35 "," 163,944,013.40 "," 70,138,905.87 "," 95,805,579.82 "," 105,620,142.65 "," 77,951,695.99 "," 109,914,227.06 "," 124,693,516.42 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114111,BUREAU DU MINISTRE," 57,818,103.73 "," 2,694,802.96 "," 3,216,444.80 "," 6,518,793.70 "," 2,845,927.57 "," 3,129,614.04 "," 6,030,141.22 "," 3,119,278.13 "," 3,765,578.50 "," 1,637,370.31 "," 3,294,322.06 "," 7,134,915.11 "," 13,461,553.56 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114112,DIRECTION GENERALE DES SERVICES INTERNES," 528,054,014.89 "," 19,394,080.00 "," 25,497,947.19 "," 84,965,406.84 "," 39,748,630.27 "," 26,622,836.85 "," 34,622,558.05 "," 52,939,385.48 "," 33,471,431.85 "," 28,856,291.04 "," 29,976,608.95 "," 82,792,338.03 "," 58,121,499.29 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114115,LABORATOIRE NATIONAL DU BATIMENT ET DES TRAVAUX PUBLICS," 27,928,292.05 "," 2,167,271.66 "," 1,128,300.00 "," 3,382,538.33 "," 2,277,576.66 "," 1,175,541.67 "," 1,593,138.33 "," 1,796,738.33 "," 2,082,721.66 "," 1,315,900.00 "," 1,601,883.33 "," 1,817,276.66 "," 7,315,900.00 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114116,OFFICE NATIONAL DU CADASTRE," 57,999,961.13 "," 2,665,420.00 "," 4,666,032.77 "," 7,625,961.10 "," 4,009,602.09 "," 3,804,735.02 "," 4,721,793.71 "," 2,644,320.00 "," 4,491,642.50 "," 4,673,654.19 "," 4,088,753.68 "," 4,198,740.43 "," 9,182,171.00 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114117,SERVICE MARITIME ET DE NAVIGATION," 34,999,978.00 "," 2,499,670.00 "," 1,360,000.00 "," 3,538,673.32 "," 1,360,000.00 "," 1,482,100.00 "," 1,882,500.00 "," 2,471,470.00 "," 2,893,870.00 "," 2,471,470.00 "," 2,449,070.00 "," 3,961,070.00 "," 8,434,780.00 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114118,CONSEIL NATIONAL DES TELECOMMUNICATIONS," 7,740,532.00 "," 578,230.00 "," 578,230.00 "," 1,107,226.67 "," 578,230.00 "," 627,463.33 "," 578,230.00 "," 502,630.00 "," 418,230.00 "," 418,230.00 "," 502,630.00 "," 671,430.00 "," 502,630.00 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114119,BUREAU DES MINES ET DE L'ENERGIE," 52,999,898.87 "," 3,001,060.00 "," 4,350,740.41 "," 7,676,205.32 "," 3,452,776.66 "," 3,852,902.12 "," 4,249,899.24 "," 3,941,427.85 "," 3,954,078.96 "," 3,727,773.80 "," 4,546,776.41 "," 3,550,927.33 "," 5,704,058.56 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114120,FONDS D'ENTRETIEN ROUTIER," 4,994,417.00 ", -   , -   , -   , -   ," 2,050,769.38 ", -   , -   ," 506,400.00 "," 715,408.00 "," 581,178.50 ", -   ," 1,001,895.00 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114121,CENTRE NATIONAL DES EQUIPEMENTS," 195,315,128.60 "," 295,316.52 "," 18,863,809.18 "," 76,716,454.23 "," 3,630,588.65 "," 9,804,823.75 "," 16,391,800.45 "," 36,018,692.48 "," 3,120,488.65 "," 7,045,034.59 "," 4,838,745.46 "," 2,280,286.73 "," 16,087,889.02 "
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS",1114122,DIRECTION NATIONALE DE L'EAU POTABLE ET DE L'ASSAINISSEMENT," 59,222,660.00 "," 690,800.00 "," 690,800.00 "," 14,822,962.46 "," 6,360,972.01 "," 3,686,932.69 "," 3,633,402.69 "," 4,343,732.59 "," 4,508,573.94 "," 3,914,407.27 "," 4,968,720.61 "," 4,799,737.94 "," 4,553,650.94 "
1114 Total,,,," 1,027,072,986.27 "," 33,986,651.14 ",," 206,354,221.97 "," 64,264,303.91 "," 56,237,718.85 "," 73,703,463.69 "," 107,777,674.86 "," 59,213,016.06 "," 54,775,539.20 "," 56,848,689.00 "," 111,206,722.23 "," 124,366,027.37 "
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE,1115111,BUREAU DU MINISTRE," 52,832,779.39 "," 3,959,050.00 "," 2,770,728.35 "," 6,613,163.46 "," 4,816,463.18 "," 3,654,522.52 "," 5,081,447.03 "," 3,921,870.80 "," 2,975,299.30 "," 6,524,026.29 "," 4,878,381.50 "," 3,576,106.65 "," 4,061,609.64 "
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE,1115112,DIRECTION GENERALE DES SERVICES INTERNES," 220,922,297.20 "," 10,395,656.62 "," 14,513,778.66 "," 33,399,964.44 "," 13,292,279.12 "," 12,857,512.62 "," 34,580,071.71 "," 17,359,299.95 "," 15,886,099.75 "," 15,051,477.89 "," 18,542,257.42 "," 17,517,648.32 "," 17,452,970.81 "
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE,1115113,OFFICE DES POSTES D'HAITI," 104,079,369.50 "," 5,355,969.33 "," 9,008,784.49 "," 14,665,053.43 "," 10,444,031.49 "," 8,236,031.49 "," 6,160,092.33 "," 7,298,586.91 "," 6,698,586.91 "," 6,364,092.33 "," 7,212,986.27 "," 8,130,236.27 "," 14,504,552.27 "
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE,1115115,DIRECTION GENERALE DES ZONES FRANCHES," 36,068,933.20 "," 4,376,778.22 "," 3,236,686.16 "," 3,265,660.00 "," 3,063,276.47 "," 2,832,628.39 "," 2,642,990.75 "," 2,024,625.13 "," 3,119,790.20 "," 1,667,303.25 "," 4,311,434.24 "," 3,167,468.25 "," 1,650,356.25 "
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE,1115116,CENTRE DE FACILITATION DES INVESTISSEMENTS," 110,122,023.30 "," 8,803,686.30 "," 5,094,999.99 "," 15,225,378.68 "," 3,460,833.33 "," 9,684,847.70 "," 11,721,457.50 "," 2,976,666.66 "," 9,722,818.27 "," 2,999,166.66 "," 16,037,999.93 "," 15,000,650.25 "," 9,383,388.07 "
1115 Total,,,," 524,025,402.59 "," 32,891,140.47 ",," 73,169,220.01 "," 35,076,883.59 "," 37,265,542.72 "," 60,186,059.32 "," 33,581,049.45 "," 38,402,594.43 "," 32,606,066.42 "," 50,983,059.36 "," 47,392,109.74 "," 47,052,877.04 "
1116,MINISTERE DE L'ENVIRONNEMENT,1116111,BUREAU DU MINISTRE," 107,510,819.47 "," 15,397,911.50 "," 14,054,369.15 "," 6,923,183.44 "," 6,887,438.00 "," 8,976,114.16 "," 1,757,053.33 "," 7,169,860.00 "," 4,554,104.76 "," 4,439,566.65 "," 8,726,377.74 "," 16,303,250.44 "," 12,287,843.34 "
